Macierz
10
10
4,24	1,46	3,82	13,86	4,16	10,11	11,84	0,24	2,25	9,93	
2,47	1,37	14,68	2,64	3,75	5,82	10,25	1,25	11,67	8,81	
9,56	10,41	2,03	13,90	8,36	3,74	0,46	2,05	12,58	4,01	
12,73	13,06	3,96	11,94	4,70	14,12	0,92	2,08	9,13	4,98	
9,32	10,32	7,36	9,65	11,80	1,15	0,27	5,76	7,85	14,71	
6,78	3,70	14,35	8,42	8,44	4,80	3,10	10,54	0,71	14,99	
2,84	13,78	0,15	3,26	8,71	0,90	7,58	7,33	6,25	10,47	
13,97	2,91	6,04	5,88	10,21	6,88	12,80	13,18	12,32	14,57	
4,92	8,62	10,91	1,39	6,80	10,67	8,11	9,50	1,88	12,25	
0,69	11,70	4,01	3,91	0,66	10,62	8,91	0,48	9,07	9,10	
